epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1171.87,1.16102,2.01676,1.04822,0.52758,0.55282,0.52589,0.35217,1.28877,1.98561,1.16006,0.000153986,0.000153986,0.000153986
43,1201.42,1.21507,2.05074,1.09327,0.51095,0.5616,0.53222,0.35303,1.29032,1.97715,1.16037,0.000146132,0.000146132,0.000146132
44,1229.94,1.19397,1.97324,1.07128,0.50502,0.57447,0.53389,0.35493,1.29088,1.97061,1.16058,0.000138278,0.000138278,0.000138278
45,1258.27,1.17348,1.94056,1.06646,0.51874,0.5588,0.5428,0.36406,1.28845,1.93883,1.15922,0.000130424,0.000130424,0.000130424
46,1287.06,1.27157,2.02476,1.12351,0.51874,0.5588,0.5428,0.36406,1.28845,1.93883,1.15922,0.00012257,0.00012257,0.00012257
47,1314.61,1.22891,1.92435,1.08959,0.55653,0.5485,0.55961,0.37733,1.28577,1.887,1.15334,0.000114716,0.000114716,0.000114716
48,1342.06,1.20704,1.98856,1.08769,0.58445,0.52763,0.57497,0.38704,1.27658,1.85324,1.14736,0.000106862,0.000106862,0.000106862
49,1369.56,1.14163,1.83527,1.05554,0.64459,0.50804,0.58355,0.39685,1.25897,1.8248,1.1414,9.9008e-05,9.9008e-05,9.9008e-05
50,1397.19,1.11971,1.90571,1.06463,0.68999,0.52091,0.5964,0.40578,1.25163,1.80676,1.13754,9.1154e-05,9.1154e-05,9.1154e-05
51,1423.43,1.21848,1.93892,1.14955,0.65017,0.52967,0.60023,0.40744,1.24116,1.76886,1.13413,8.33e-05,8.33e-05,8.33e-05
52,1449.98,1.24229,2.00666,1.12091,0.6036,0.56867,0.59943,0.40414,1.24406,1.74544,1.13435,7.5446e-05,7.5446e-05,7.5446e-05
53,1475.83,1.19889,1.84275,1.09187,0.56861,0.60881,0.60187,0.40354,1.25135,1.74062,1.13396,6.7592e-05,6.7592e-05,6.7592e-05
54,1501.98,1.11317,1.74451,1.09999,0.56861,0.60881,0.60187,0.40354,1.25135,1.74062,1.13396,5.9738e-05,5.9738e-05,5.9738e-05
55,1528.28,1.17606,1.83581,1.08356,0.5585,0.63779,0.59581,0.39972,1.25368,1.7345,1.13546,5.1884e-05,5.1884e-05,5.1884e-05
56,1554.25,1.1569,1.81596,1.10093,0.56225,0.61911,0.59308,0.39767,1.25849,1.71531,1.13631,4.403e-05,4.403e-05,4.403e-05
57,1580.51,1.20423,1.85659,1.09942,0.55692,0.61709,0.59608,0.40186,1.25622,1.70179,1.13906,3.6176e-05,3.6176e-05,3.6176e-05
58,1606.58,1.17058,1.69141,1.11522,0.55803,0.64542,0.60113,0.40474,1.25378,1.68964,1.14182,2.8322e-05,2.8322e-05,2.8322e-05
59,1632.76,1.16784,1.7278,1.13537,0.56259,0.66566,0.60407,0.40847,1.24841,1.67913,1.14072,2.0468e-05,2.0468e-05,2.0468e-05
60,1658.76,1.17928,1.81571,1.10993,0.56267,0.66227,0.60778,0.41173,1.24746,1.6727,1.14198,1.2614e-05,1.2614e-05,1.2614e-05
