epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,6860.32,0.56312,0.47416,1.11604,0.99752,1,0.995,0.88147,0.51956,0.35365,1.02878,0.000548,0.000548,0.000548
46,6987.56,0.56998,0.45358,1.12395,0.99753,1,0.995,0.86466,0.55988,0.38551,1.05548,0.000515,0.000515,0.000515
47,7115.05,0.55921,0.4488,1.11626,0.99767,1,0.995,0.87763,0.55013,0.376,1.04668,0.000482,0.000482,0.000482
48,7255.82,0.56058,0.46449,1.13185,0.99777,1,0.995,0.90987,0.47509,0.31926,0.98713,0.000449,0.000449,0.000449
49,7389.16,0.53886,0.42736,1.11643,0.9978,1,0.995,0.90747,0.47718,0.31039,0.99442,0.000416,0.000416,0.000416
50,7524.01,0.5939,0.45282,1.15143,0.99792,1,0.995,0.89364,0.51802,0.3186,1.00848,0.000383,0.000383,0.000383
51,7649.09,0.39552,0.5813,1.04361,0.99777,1,0.995,0.88972,0.48664,0.32902,0.98918,0.00035,0.00035,0.00035
52,7775.79,0.40789,0.42841,1.0729,0.9974,1,0.995,0.8922,0.4787,0.3882,1.0057,0.000317,0.000317,0.000317
53,7900.49,0.42497,0.4131,1.06863,0.99716,1,0.995,0.88244,0.50411,0.39551,1.03607,0.000284,0.000284,0.000284
54,8024.82,0.42856,0.36536,1.06215,0.99741,1,0.995,0.91586,0.45484,0.36234,0.96999,0.000251,0.000251,0.000251
55,8149.96,0.38028,0.34021,1.04461,0.99757,1,0.995,0.89712,0.47213,0.3562,0.98562,0.000218,0.000218,0.000218
56,8275.57,0.38122,0.32799,1.06172,0.9977,1,0.995,0.90241,0.47305,0.3464,0.98497,0.000185,0.000185,0.000185
57,8406.67,0.39037,0.32735,1.05132,0.99773,1,0.995,0.89848,0.47775,0.34387,0.98613,0.000152,0.000152,0.000152
58,8532.48,0.40204,0.33264,1.08431,0.99769,1,0.995,0.90848,0.45046,0.32926,0.96131,0.000119,0.000119,0.000119
59,8659.05,0.36039,0.31552,1.03864,0.99776,1,0.995,0.91648,0.4558,0.31787,0.9666,8.6e-05,8.6e-05,8.6e-05
60,8785.2,0.37675,0.31767,1.02004,0.99777,1,0.995,0.91306,0.45736,0.31375,0.97077,5.3e-05,5.3e-05,5.3e-05
